id,username,email,password,roleId,isBlocked
1,admin,admin@gmail.com,Admin_123,1,False
2,pedromst,pedromst@gmail.com,Pedromst_123,2,False
3,Charles,charles@gmail.com,Charles_123,2,True
4,AnaKirk,anak@gmail.com,AnaKirk_123,2,False
5,katrine,katrinePetrova@gmail.com,Katrine_123,2,False
6,asd,asd@hotmail.com,Asd_123,3,False
7,sofia,sofia@hotmail.com,Sofia_123,2,False
8,miguel,miguel@hotmail.com,Miguel_123,2,False
9,lucas,lucas@hotmail.com,Lucas_123,2,False
10,emma,emma@hotmail.com,Emma_123,2,False
11,isabella,isabella@hotmail.com,Isabella_123,2,False
12,liam,liam@hotmail.com,Liam_123,2,False
13,oliver,oliver@gmail.com,Oliver_123,2,False
14,mia,mia@gmail.com,Mia_123,2,False
15,noah,noah@gmail.com,Noah_123,2,False
16,ava,ava@gmail.com,Ava_123,2,False
17,sophie,sophie@gmail.com,Sophie_123,2,True
18,theo,theo@gmail.com,Theo_123,2,True
19,ethan,ethan@gmail.com,Ethan_123,2,False
20,lily,lily@gmail.com,Lily_123,2,False
